id_registro,id_deputado,nome_deputado,ano,mes,tipo_despesa,valor,estado
1072836,107283,Gleisi Hoffmann,2026,6,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,171.68,PR
1072836,107283,Gleisi Hoffmann,2026,6,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,79.9,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,311.84,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,304.5,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,150.0,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,250.0,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,300.05,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,329.0,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,226.51,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,298.14,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,314.2,PR
1072836,107283,Gleisi Hoffmann,2026,6,COMBUSTÍVEIS E LUBRIFICANTES.,291.42,PR
1072836,107283,Gleisi Hoffmann,2026,6,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,158.11,PR
1072836,107283,Gleisi Hoffmann,2026,6,TELEFONIA,67.21,PR
1072836,107283,Gleisi Hoffmann,2026,6,TELEFONIA,66.87,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",257.5,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",257.5,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",665.04,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",1330.07,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",1330.0,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",249.5,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",349.5,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",195.1,PR
1072836,107283,Gleisi Hoffmann,2026,6,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",415.89,PR
