id_registro,id_deputado,nome_deputado,estado,ano,mes,tipo_despesa,valor_gasto,data_despesa
2044116,204411,Filipe Barros,PR,2026,6,AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS,130.0,2026-06-01
2146946,214694,Jorge Goetten,SC,2026,6,PASSAGEM AÉREA - REEMBOLSO,1012.7,2026-06-01
2146946,214694,Jorge Goetten,SC,2026,6,PASSAGEM AÉREA - REEMBOLSO,1000.67,2026-06-01
2205561,220556,Ana Paula Lima,SC,2026,1,SERVIÇOS POSTAIS,1235.0,2026-01-01
2205564,220556,Ana Paula Lima,SC,2026,4,SERVIÇOS POSTAIS,519.0,2026-04-01
2205565,220556,Ana Paula Lima,SC,2026,5,SERVIÇOS POSTAIS,142.1,2026-05-01
2205566,220556,Ana Paula Lima,SC,2026,6,SERVIÇOS POSTAIS,3924.3,2026-06-01
2205581,220558,Zé Trovão,SC,2026,1,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,406.77,2026-01-01
2205581,220558,Zé Trovão,SC,2026,1,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,345.24,2026-01-01
2205582,220558,Zé Trovão,SC,2026,2,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,377.76,2026-02-01
2205582,220558,Zé Trovão,SC,2026,2,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,445.09,2026-02-01
2205583,220558,Zé Trovão,SC,2026,3,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,377.76,2026-03-01
2205583,220558,Zé Trovão,SC,2026,3,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,445.09,2026-03-01
2205584,220558,Zé Trovão,SC,2026,4,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,377.76,2026-04-01
2205584,220558,Zé Trovão,SC,2026,4,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,445.09,2026-04-01
2205585,220558,Zé Trovão,SC,2026,5,SERVIÇOS POSTAIS,37.6,2026-05-01
2205585,220558,Zé Trovão,SC,2026,5,SERVIÇOS POSTAIS,86.6,2026-05-01
2205585,220558,Zé Trovão,SC,2026,5,SERVIÇOS POSTAIS,86.6,2026-05-01
2205585,220558,Zé Trovão,SC,2026,5,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,377.76,2026-05-01
