estado,tipo_despesa,data_despesa,valor_previsto,limite_minimo,limite_maximo
PR,TELEFONIA,2026-08-01,10084.455000000002,9076.009500000002,11092.900500000003
PR,TELEFONIA,2026-09-01,10417.644,9375.8796,11459.408400000002
PR,TELEFONIA,2026-10-01,10750.833000000002,9675.749700000002,11825.916300000004
PR,TELEFONIA,2026-11-01,11084.022,9975.6198,12192.424200000001
SC,COMBUSTÍVEIS E LUBRIFICANTES.,2026-07-01,108992.43200000003,98093.18880000003,119891.67520000004
SC,COMBUSTÍVEIS E LUBRIFICANTES.,2026-08-01,114772.93828571432,103295.64445714289,126250.23211428577
SC,COMBUSTÍVEIS E LUBRIFICANTES.,2026-09-01,120553.44457142861,108498.10011428576,132608.78902857148
SC,COMBUSTÍVEIS E LUBRIFICANTES.,2026-10-01,126333.9508571429,113700.55577142861,138967.3459428572
SC,COMBUSTÍVEIS E LUBRIFICANTES.,2026-11-01,132114.4571428572,118903.01142857148,145325.90285714294
SC,COMBUSTÍVEIS E LUBRIFICANTES.,2026-12-01,137894.9634285715,124105.46708571435,151684.45977142866
SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-06-01,253188.177,227869.3593,278506.99470000004
SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-07-01,267166.832,240450.1488,293883.5152
SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-08-01,281145.48699999996,253030.93829999998,309260.0357
SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-09-01,295124.142,265611.7278,324636.5562
SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-10-01,309102.797,278192.5173,340013.07670000003
SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2026-11-01,323081.452,290773.3068,355389.5972
SC,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-07-01,3851.3639999999996,3466.2275999999997,4236.5004
SC,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-08-01,3940.606571428571,3546.545914285714,4334.6672285714285
SC,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-09-01,4029.8491428571424,3626.864228571428,4432.834057142857
SC,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,2026-10-01,4119.091714285714,3707.182542857143,4531.000885714286
